Have the supplier's assets undergone a risk analysis?,No
Are the supplier's assets classified according to their sensitivity level?,No
"Is the IAM policy for assets defined, ensuring individual accounts without sharing and avoiding generic accounts, with annual access rights reviews? ",Yes
"Has the supplier developed policies and procedures to provide rapid and effective responses to security incidents, including defining the means of communicating security incidents to AVIV and the required level of security for this communication?",Yes
Does the supplier have a security incident management process in place?,Yes
"Is there a joiner/leaver process clearly defined and enforced end-to-end by all departments, including during changes in an employee's position and are access rights granted and withdrawn in accordance with this process?",Yes
"Has the supplier documented a BCP/DRP procedure and exercises to test this procedures ? (if yes, how often?)","Yes to plan, no to exercises"
"Are all of the supplier's assets, including workstation, protected by up-to-date antivirus software with virus signatures updated at least weekly?",Yes
Does the supplier's infrastructure contain obsolete software components or unsupported operating systems?,No
Is there an automatic vulnerability scanning mechanism in place for the supplier's infrastructure?,Yes
"Does the supplier patch any asset, including its operating system and middleware, in less than a week after the publication of a critical flaw (CVSS of 9 or more)?",Yes
"Can the supplier provide AVIV, upon request, with a list of its subcontractors directly or indirectly involved in the provided service?",Yes
Does the supplier have a documented process for deleting AVIV's or AVIV customers' PII in its possession?,We do not collect PII other than for the purposes of AVIV account creation and access. This user data and all AVIV data can be purged.
"Does the solution include features to ""hide"" sensitive data from specific users based on their authorization or profile? ",Yes
Does it have mechanisms to prevent authenticated users from massively downloading sensitive data if their authorization does not permit it?,Yes
"Is access to the supplier's premises only possible through a secure identification mechanism, and entry/exit records maintained for employees as permitted by regulations?",Yes
Are specific access rights required for sensitive areas containing critical assets of the supplier?,Yes
Does the supplier's solution allow AVIV to autonomously create and delete user accounts?,"Yes, first account is created by Scope3, additional access is granted by AVIV"
"Does the solution support AVIV users' authentication via SAMLv2 and/or OpenID Connect, and if yes, is this feature standard or additional?","Yes, SAML, Free"
Is AVIV users' account provisioning automated via this federation?,No 
"Are assets regularly backed up, and are these backups stored in separate physical and logical areas from the assets being backed up?",Yes
"Is sensitive data stored encrypted, using a mechanism that aligns with established encryption industry best practices?",Yes
"Are any non-production assets, like those used for development or testing, accessible on the internet and are only essential production assets exposed, limiting access to necessary services and avoiding direct exposure of management services or databases on the internet? ",Yes
Does the supplier separates its production and non-production environments logically or phisically?,Logically
"Does the supplier ensure that no production data is used for testing purposes, and if it is used in non-production environments, is it fully anonymized?",Yes
Do the encryption key characteristics adhere to recommended industry standards for secure encryption?,Yes
"Are properly managed workstations provided to each employee of the supplier, with encrypted storage for both workstations and mobile equipment ?",Yes
Are all communications both within the supplier's infrastructure and between the supplier and AVIV encrypted?,Yes
Are all encryption or signature certificates generated either by a centralized PKI or a specialized supplier? ,Yes
"Does the supplier implement system hardening best practices or frameworks? If so, which one(s)?","Yes, security by design; privacy by design. RBAC, MDM, Secure development policy. We also benefit from the industry leading security controls and features of our primary cloud provider GCP."
Is network access controlled to prevent unauthorized access?,Yes
Is the supplier's application infrastructure exposed to the Internet protected by a WAF?,Yes
Are there IDS positioned at the supplier's network critical points?,Yes
Does the supplier have a SIEM?,Yes
Are administrators' rights reviewed at least once a year?,Yes
"Do employees have administrator rights on their workstations, except when a duly validated and justified exception is made and recorded?",Yes
Are user service passwords stored in hashed form and salted before hashing?,Yes
"Are secrets, especially passwords and keys, provided by AVIV securely stored and inaccessible to any employee of the service supplier?",Yes
"If the supplier utilizes an internal PKI, is it installed on a dedicated and isolated network, with the root certificate authority offline when not generating an intermediate certificate?",Not Applicable
"Does the supplier ensure that security incidents are promptly communicated to AVIV with recommendations to limit their impact, and require employees and subcontractors to report any actual or suspected incidents?",Yes
"Has the supplier established and documented a crisis management procedure covering crisis initiation, deployment of the crisis unit, roles of involved parties, and the execution of the crisis management process?",Yes
"Is the simulation of response to a ransomware attack carried out on a regular basis, and if yes, how often?",No
Does the supplier provide AVIV with the necessary elements to contact it in the event of a BCP being triggered?,Yes
Does the supplier log all connections made to its assets and record the actions performed? ,Yes
Are audit logs stored outside the respective machine or system?,Yes
Does the supplier conduct source code analysis using a SAST system or has an alert mechanism for vulnerabilities in external libraries?,Yes
"Are penetration tests performed on the supplier's system on a regular basis by a third party, and if yes, how often?",Yes
Has an external audit been carried out by an external firm in the last 3 years?,"No, first SOC2 audit targeted for Q1 2025"
"Does the solution provide a mechanism for the AVIV security team to access audit trails, including user logins, timestamps, and actions performed?",Yes
Is every action by an AVIV user on the supplier's solution traced?,Yes
Do you have a member of your organization with dedicated information security duties?  ,Yes
Does the organization have written information security policies?,Yes
"Do your employment agreements contain confidentiality requirements, including non-disclosure and prohibitions on unauthorized use of data?",Yes
How often does your staff receive information security awareness training?,"New hire training will begin this quarter, reminders are sent to staff regularly, and as the current threat landscape dictates"
